variante,clave,valor
OBJ_B3_ALTO,prioridad.PRIORIZADO_12H,12
OBJ_B3_ALTO,sa.calibrar,true
OBJ_B3_ALTO,experimento.tamanios,"25,50,100"
OBJ_B3_ALTO,prioridad.PRIORIZADO_18H,18
OBJ_B3_ALTO,ga.cruzamiento,0.9
OBJ_B3_ALTO,ga.torneo,2
OBJ_B3_ALTO,sa.recalentamiento,0.3
OBJ_B3_ALTO,ga.proporcionVoraz,0.5
OBJ_B3_ALTO,ga.elitismo,1
OBJ_B3_ALTO,operacion.servicioHoras,1
OBJ_B3_ALTO,ga.mutacion,0.01
OBJ_B3_ALTO,sa.enfriamiento,0.95
OBJ_B3_ALTO,experimento.repeticiones,30
OBJ_B3_ALTO,operacion.incluirRetorno,true
OBJ_B3_ALTO,operacion.servicioDentroPlazo,false
OBJ_B3_ALTO,ga.poblacion,60
OBJ_B3_ALTO,sa.muestras,100
OBJ_B3_BAJO,operacion.distanciaNodoKm,1
OBJ_B3_BAJO,sa.aceptacion,0.6
OBJ_B3_BAJO,sa.iteraciones,40
OBJ_B3_BAJO,prioridad.REGULAR_36H,36
OBJ_B3_BAJO,prioridad.PRIORIZADO_4H,4
OBJ_B3_BAJO,prioridad.PRIORIZADO_8H,8
OBJ_B3_BAJO,objetivo.beta3,2000
OBJ_B3_BAJO,objetivo.beta2,1000
OBJ_B3_BAJO,objetivo.beta1,100
OBJ_B3_BAJO,busqueda.movimientos,"DOS_OPT,SWAP,RELOCATE,CROSS_ROUTE,VEHICLE_CHANGE"
OBJ_B3_BAJO,sa.maxNiveles,1000
OBJ_B3_BAJO,ga.generaciones,150
OBJ_B3_BAJO,experimento.semillaBase,42
OBJ_B3_BAJO,sa.temperaturaFinal,1
OBJ_B3_BAJO,sa.temperaturaInicial,1000
OBJ_B3_BAJO,prioridad.PRIORIZADO_12H,12
OBJ_B3_BAJO,sa.calibrar,true
OBJ_B3_BAJO,experimento.tamanios,"25,50,100"
OBJ_B3_BAJO,prioridad.PRIORIZADO_18H,18
OBJ_B3_BAJO,ga.cruzamiento,0.9
OBJ_B3_BAJO,ga.torneo,2
OBJ_B3_BAJO,sa.recalentamiento,0.3
OBJ_B3_BAJO,ga.proporcionVoraz,0.5
OBJ_B3_BAJO,ga.elitismo,1
OBJ_B3_BAJO,operacion.servicioHoras,1
OBJ_B3_BAJO,ga.mutacion,0.01
OBJ_B3_BAJO,sa.enfriamiento,0.95
OBJ_B3_BAJO,experimento.repeticiones,30
OBJ_B3_BAJO,operacion.incluirRetorno,true
OBJ_B3_BAJO,operacion.servicioDentroPlazo,false
OBJ_B3_BAJO,ga.poblacion,60
OBJ_B3_BAJO,sa.muestras,100
OBJ_B2_ALTO,operacion.distanciaNodoKm,1
OBJ_B2_ALTO,sa.aceptacion,0.6
OBJ_B2_ALTO,sa.iteraciones,40
OBJ_B2_ALTO,prioridad.REGULAR_36H,36
OBJ_B2_ALTO,prioridad.PRIORIZADO_4H,4
OBJ_B2_ALTO,prioridad.PRIORIZADO_8H,8
OBJ_B2_ALTO,objetivo.beta3,10000
OBJ_B2_ALTO,objetivo.beta2,5000
OBJ_B2_ALTO,objetivo.beta1,100
OBJ_B2_ALTO,busqueda.movimientos,"DOS_OPT,SWAP,RELOCATE,CROSS_ROUTE,VEHICLE_CHANGE"
OBJ_B2_ALTO,sa.maxNiveles,1000
OBJ_B2_ALTO,ga.generaciones,150
OBJ_B2_ALTO,experimento.semillaBase,42
OBJ_B2_ALTO,sa.temperaturaFinal,1
OBJ_B2_ALTO,sa.temperaturaInicial,1000
OBJ_B2_ALTO,prioridad.PRIORIZADO_12H,12
OBJ_B2_ALTO,sa.calibrar,true
OBJ_B2_ALTO,experimento.tamanios,"25,50,100"
OBJ_B2_ALTO,prioridad.PRIORIZADO_18H,18
OBJ_B2_ALTO,ga.cruzamiento,0.9
OBJ_B2_ALTO,ga.torneo,2
OBJ_B2_ALTO,sa.recalentamiento,0.3
OBJ_B2_ALTO,ga.proporcionVoraz,0.5
OBJ_B2_ALTO,ga.elitismo,1
OBJ_B2_ALTO,operacion.servicioHoras,1
OBJ_B2_ALTO,ga.mutacion,0.01
OBJ_B2_ALTO,sa.enfriamiento,0.95
OBJ_B2_ALTO,experimento.repeticiones,30
OBJ_B2_ALTO,operacion.incluirRetorno,true
OBJ_B2_ALTO,operacion.servicioDentroPlazo,false
OBJ_B2_ALTO,ga.poblacion,60
OBJ_B2_ALTO,sa.muestras,100
OBJ_B1_ALTO,operacion.distanciaNodoKm,1
OBJ_B1_ALTO,sa.aceptacion,0.6
OBJ_B1_ALTO,sa.iteraciones,40
OBJ_B1_ALTO,prioridad.REGULAR_36H,36
OBJ_B1_ALTO,prioridad.PRIORIZADO_4H,4
OBJ_B1_ALTO,prioridad.PRIORIZADO_8H,8
OBJ_B1_ALTO,objetivo.beta3,10000
OBJ_B1_ALTO,objetivo.beta2,1000
OBJ_B1_ALTO,objetivo.beta1,500
OBJ_B1_ALTO,busqueda.movimientos,"DOS_OPT,SWAP,RELOCATE,CROSS_ROUTE,VEHICLE_CHANGE"
OBJ_B1_ALTO,sa.maxNiveles,1000
OBJ_B1_ALTO,ga.generaciones,150
OBJ_B1_ALTO,experimento.semillaBase,42
OBJ_B1_ALTO,sa.temperaturaFinal,1
OBJ_B1_ALTO,sa.temperaturaInicial,1000
OBJ_B1_ALTO,prioridad.PRIORIZADO_12H,12
OBJ_B1_ALTO,sa.calibrar,true
OBJ_B1_ALTO,experimento.tamanios,"25,50,100"
OBJ_B1_ALTO,prioridad.PRIORIZADO_18H,18
OBJ_B1_ALTO,ga.cruzamiento,0.9
OBJ_B1_ALTO,ga.torneo,2
OBJ_B1_ALTO,sa.recalentamiento,0.3
OBJ_B1_ALTO,ga.proporcionVoraz,0.5
OBJ_B1_ALTO,ga.elitismo,1
OBJ_B1_ALTO,operacion.servicioHoras,1
OBJ_B1_ALTO,ga.mutacion,0.01
OBJ_B1_ALTO,sa.enfriamiento,0.95
OBJ_B1_ALTO,experimento.repeticiones,30
OBJ_B1_ALTO,operacion.incluirRetorno,true
OBJ_B1_ALTO,operacion.servicioDentroPlazo,false
OBJ_B1_ALTO,ga.poblacion,60
OBJ_B1_ALTO,sa.muestras,100
