variante,clave,valor
SA_ENF098,sa.iteraciones,40
SA_ENF098,prioridad.REGULAR_36H,36
SA_ENF098,prioridad.PRIORIZADO_4H,4
SA_ENF098,prioridad.PRIORIZADO_8H,8
SA_ENF098,objetivo.beta3,10000
SA_ACEP04,objetivo.beta2,1000
SA_ACEP04,objetivo.beta1,100
SA_ACEP04,busqueda.movimientos,"DOS_OPT,SWAP,RELOCATE,CROSS_ROUTE,VEHICLE_CHANGE"
SA_ACEP04,sa.maxNiveles,1000
SA_ACEP04,ga.generaciones,150
SA_ACEP04,experimento.semillaBase,42
SA_ACEP04,sa.temperaturaFinal,1
SA_ACEP04,sa.temperaturaInicial,1000
SA_ACEP04,prioridad.PRIORIZADO_12H,12
SA_ACEP04,sa.calibrar,true
SA_ACEP04,experimento.tamanios,"25,50,100"
SA_ACEP04,prioridad.PRIORIZADO_18H,18
SA_ACEP04,ga.cruzamiento,0.9
SA_ACEP04,ga.torneo,2
SA_ACEP04,sa.recalentamiento,0.3
SA_ACEP04,ga.proporcionVoraz,0.5
SA_ACEP04,ga.elitismo,1
SA_ACEP04,operacion.servicioHoras,1
SA_ACEP04,ga.mutacion,0.01
SA_ACEP04,sa.enfriamiento,0.95
SA_ACEP04,experimento.repeticiones,30
SA_ACEP04,operacion.incluirRetorno,true
SA_ACEP04,operacion.servicioDentroPlazo,false
SA_ACEP04,ga.poblacion,60
SA_ACEP04,sa.muestras,100
SA_ACEP04,operacion.distanciaNodoKm,1
SA_ACEP04,sa.aceptacion,0.4
SA_ACEP04,sa.iteraciones,40
SA_ACEP04,prioridad.REGULAR_36H,36
SA_ACEP04,prioridad.PRIORIZADO_4H,4
SA_ACEP04,prioridad.PRIORIZADO_8H,8
SA_ACEP04,objetivo.beta3,10000
SA_ACEP08,objetivo.beta2,1000
SA_ACEP08,objetivo.beta1,100
SA_ACEP08,busqueda.movimientos,"DOS_OPT,SWAP,RELOCATE,CROSS_ROUTE,VEHICLE_CHANGE"
SA_ACEP08,sa.maxNiveles,1000
SA_ACEP08,ga.generaciones,150
SA_ACEP08,experimento.semillaBase,42
SA_ACEP08,sa.temperaturaFinal,1
SA_ACEP08,sa.temperaturaInicial,1000
SA_ACEP08,prioridad.PRIORIZADO_12H,12
SA_ACEP08,sa.calibrar,true
SA_ACEP08,experimento.tamanios,"25,50,100"
SA_ACEP08,prioridad.PRIORIZADO_18H,18
SA_ACEP08,ga.cruzamiento,0.9
SA_ACEP08,ga.torneo,2
SA_ACEP08,sa.recalentamiento,0.3
SA_ACEP08,ga.proporcionVoraz,0.5
SA_ACEP08,ga.elitismo,1
SA_ACEP08,operacion.servicioHoras,1
SA_ACEP08,ga.mutacion,0.01
SA_ACEP08,sa.enfriamiento,0.95
SA_ACEP08,experimento.repeticiones,30
SA_ACEP08,operacion.incluirRetorno,true
SA_ACEP08,operacion.servicioDentroPlazo,false
SA_ACEP08,ga.poblacion,60
SA_ACEP08,sa.muestras,100
SA_ACEP08,operacion.distanciaNodoKm,1
SA_ACEP08,sa.aceptacion,0.8
SA_ACEP08,sa.iteraciones,40
SA_ACEP08,prioridad.REGULAR_36H,36
SA_ACEP08,prioridad.PRIORIZADO_4H,4
SA_ACEP08,prioridad.PRIORIZADO_8H,8
SA_ACEP08,objetivo.beta3,10000
SA_RECAL01,objetivo.beta2,1000
SA_RECAL01,objetivo.beta1,100
SA_RECAL01,busqueda.movimientos,"DOS_OPT,SWAP,RELOCATE,CROSS_ROUTE,VEHICLE_CHANGE"
SA_RECAL01,sa.maxNiveles,1000
SA_RECAL01,ga.generaciones,150
SA_RECAL01,experimento.semillaBase,42
SA_RECAL01,sa.temperaturaFinal,1
SA_RECAL01,sa.temperaturaInicial,1000
SA_RECAL01,prioridad.PRIORIZADO_12H,12
SA_RECAL01,sa.calibrar,true
SA_RECAL01,experimento.tamanios,"25,50,100"
SA_RECAL01,prioridad.PRIORIZADO_18H,18
SA_RECAL01,ga.cruzamiento,0.9
SA_RECAL01,ga.torneo,2
SA_RECAL01,sa.recalentamiento,0.1
SA_RECAL01,ga.proporcionVoraz,0.5
SA_RECAL01,ga.elitismo,1
SA_RECAL01,operacion.servicioHoras,1
SA_RECAL01,ga.mutacion,0.01
SA_RECAL01,sa.enfriamiento,0.95
SA_RECAL01,experimento.repeticiones,30
SA_RECAL01,operacion.incluirRetorno,true
SA_RECAL01,operacion.servicioDentroPlazo,false
SA_RECAL01,ga.poblacion,60
SA_RECAL01,sa.muestras,100
SA_RECAL01,operacion.distanciaNodoKm,1
SA_RECAL01,sa.aceptacion,0.6
SA_RECAL01,sa.iteraciones,40
SA_RECAL01,prioridad.REGULAR_36H,36
SA_RECAL01,prioridad.PRIORIZADO_4H,4
SA_RECAL01,prioridad.PRIORIZADO_8H,8
SA_RECAL01,objetivo.beta3,10000
SA_RECAL05,objetivo.beta2,1000
SA_RECAL05,objetivo.beta1,100
SA_RECAL05,busqueda.movimientos,"DOS_OPT,SWAP,RELOCATE,CROSS_ROUTE,VEHICLE_CHANGE"
SA_RECAL05,sa.maxNiveles,1000
SA_RECAL05,ga.generaciones,150
SA_RECAL05,experimento.semillaBase,42
SA_RECAL05,sa.temperaturaFinal,1
SA_RECAL05,sa.temperaturaInicial,1000
SA_RECAL05,prioridad.PRIORIZADO_12H,12
SA_RECAL05,sa.calibrar,true
SA_RECAL05,experimento.tamanios,"25,50,100"
SA_RECAL05,prioridad.PRIORIZADO_18H,18
SA_RECAL05,ga.cruzamiento,0.9
SA_RECAL05,ga.torneo,2
SA_RECAL05,sa.recalentamiento,0.5
SA_RECAL05,ga.proporcionVoraz,0.5
SA_RECAL05,ga.elitismo,1
SA_RECAL05,operacion.servicioHoras,1
SA_RECAL05,ga.mutacion,0.01
SA_RECAL05,sa.enfriamiento,0.95
SA_RECAL05,experimento.repeticiones,30
SA_RECAL05,operacion.incluirRetorno,true
SA_RECAL05,operacion.servicioDentroPlazo,false
SA_RECAL05,ga.poblacion,60
SA_RECAL05,sa.muestras,100
SA_RECAL05,operacion.distanciaNodoKm,1
SA_RECAL05,sa.aceptacion,0.6
SA_RECAL05,sa.iteraciones,40
SA_RECAL05,prioridad.REGULAR_36H,36
SA_RECAL05,prioridad.PRIORIZADO_4H,4
SA_RECAL05,prioridad.PRIORIZADO_8H,8
SA_RECAL05,objetivo.beta3,10000
SA_MOV3,objetivo.beta2,1000
SA_MOV3,objetivo.beta1,100
SA_MOV3,busqueda.movimientos,"DOS_OPT,SWAP,RELOCATE"
SA_MOV3,sa.maxNiveles,1000
SA_MOV3,ga.generaciones,150
SA_MOV3,experimento.semillaBase,42
SA_MOV3,sa.temperaturaFinal,1
SA_MOV3,sa.temperaturaInicial,1000
SA_MOV3,prioridad.PRIORIZADO_12H,12
SA_MOV3,sa.calibrar,true
SA_MOV3,experimento.tamanios,"25,50,100"
SA_MOV3,prioridad.PRIORIZADO_18H,18
SA_MOV3,ga.cruzamiento,0.9
SA_MOV3,ga.torneo,2
SA_MOV3,sa.recalentamiento,0.3
SA_MOV3,ga.proporcionVoraz,0.5
SA_MOV3,ga.elitismo,1
SA_MOV3,operacion.servicioHoras,1
SA_MOV3,ga.mutacion,0.01
SA_MOV3,sa.enfriamiento,0.95
SA_MOV3,experimento.repeticiones,30
SA_MOV3,operacion.incluirRetorno,true
SA_MOV3,operacion.servicioDentroPlazo,false
SA_MOV3,ga.poblacion,60
SA_MOV3,sa.muestras,100
SA_MOV3,operacion.distanciaNodoKm,1
SA_MOV3,sa.aceptacion,0.6
SA_MOV3,sa.iteraciones,40
SA_MOV3,prioridad.REGULAR_36H,36
SA_MOV3,prioridad.PRIORIZADO_4H,4
SA_MOV3,prioridad.PRIORIZADO_8H,8
SA_MOV3,objetivo.beta3,10000
