variante,escenario,escenario_operativo,perfil_presion,nivel,tamanio,algoritmo_A,algoritmo_B,pares,media_F_A,media_F_B,victorias_A,victorias_B,empates,p_wilcoxon,tamano_efecto_r,interpretacion_efecto,veredicto,media_evaluaciones_A,media_evaluaciones_B,media_tiempo_ms_A,media_tiempo_ms_B,p_wilcoxon_presupuesto_igual,veredicto_presupuesto_igual
BASE,OPERACION_DIARIA-ALTA-N02,OPERACION_DIARIA,ALTA,2,38,GENETICO,RECOCIDO_SIMULADO,30,711.888778,665.838278,12,18,0,0.009301,0.467528,MEDIANO,GANA_RECOCIDO_SIMULADO,9060,1891.666667,622.74465,26.22418,0.00005,GANA_RECOCIDO_SIMULADO
BASE,OPERACION_DIARIA-ALTA-N03,OPERACION_DIARIA,ALTA,3,38,GENETICO,RECOCIDO_SIMULADO,30,174.003889,181.873167,26,4,0,0.004665,0.505081,GRANDE,GANA_GENETICO,9060,637,390.135163,18.134657,0.060565,SIN_DIFERENCIA_SIGNIFICATIVA
BASE,OPERACION_DIARIA-CRITICA-N01,OPERACION_DIARIA,CRITICA,1,55,GENETICO,RECOCIDO_SIMULADO,30,1204.078111,1224.732,22,8,0,0.129353,0.279766,PEQUENO,SIN_DIFERENCIA_SIGNIFICATIVA,9060,1533,517.76576,41.188343,0.41613,SIN_DIFERENCIA_SIGNIFICATIVA
BASE,OPERACION_DIARIA-CRITICA-N02,OPERACION_DIARIA,CRITICA,2,55,GENETICO,RECOCIDO_SIMULADO,30,1517.245944,1516.526278,17,13,0,0.855272,0.035675,DESPRECIABLE,SIN_DIFERENCIA_SIGNIFICATIVA,9060,1190.333333,446.434757,45.55888,0.00256,GANA_RECOCIDO_SIMULADO
BASE,OPERACION_DIARIA-CRITICA-N03,OPERACION_DIARIA,CRITICA,3,55,GENETICO,RECOCIDO_SIMULADO,30,25386.409278,24606.582222,9,21,0,0.066665,0.336095,MEDIANO,SIN_DIFERENCIA_SIGNIFICATIVA,9060,1146.333333,703.238313,53.064573,0.000012,GANA_RECOCIDO_SIMULADO
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,1,25,GENETICO,RECOCIDO_SIMULADO,30,84.5685,86.263333,30,0,0,0.000002,0.873603,GRANDE,GANA_GENETICO,9060,902.333333,653.386117,8.421683,0.000002,GANA_GENETICO
BASE,OPERACION_DIARIA-NORMAL-N02,OPERACION_DIARIA,NORMAL,2,25,GENETICO,RECOCIDO_SIMULADO,30,94.884333,95.85,30,0,0,0.000002,0.873372,GRANDE,GANA_GENETICO,9060,3770.333333,587.341853,30.508737,0.000002,GANA_GENETICO
BASE,OPERACION_DIARIA-NORMAL-N03,OPERACION_DIARIA,NORMAL,3,25,GENETICO,RECOCIDO_SIMULADO,30,201.374333,202.848333,30,0,0,0.000002,0.873326,GRANDE,GANA_GENETICO,9060,1898.333333,591.944293,15.925277,0.000002,GANA_GENETICO
BASE,SIMULACION_CINCO_DIAS-ALTA-N01,SIMULACION_CINCO_DIAS,ALTA,1,190,GENETICO,RECOCIDO_SIMULADO,30,751692.744778,1005553.274278,30,0,0,0,0.873095,GRANDE,GANA_GENETICO,9060,4839.666667,2737.209777,813.912213,0,GANA_GENETICO
BASE,SIMULACION_CINCO_DIAS-ALTA-N02,SIMULACION_CINCO_DIAS,ALTA,2,190,GENETICO,RECOCIDO_SIMULADO,30,741079.75,1005041.301778,30,0,0,0,0.873095,GRANDE,GANA_GENETICO,9060,4598.333333,2656.25795,821.127473,0,GANA_GENETICO
BASE,SIMULACION_CINCO_DIAS-ALTA-N03,SIMULACION_CINCO_DIAS,ALTA,3,190,GENETICO,RECOCIDO_SIMULADO,30,708898.691444,1022865.477222,30,0,0,0,0.873095,GRANDE,GANA_GENETICO,9060,4686.333333,2521.093557,796.35905,0,GANA_GENETICO
BASE,SIMULACION_CINCO_DIAS-CRITICA-N01,SIMULACION_CINCO_DIAS,CRITICA,1,275,GENETICO,RECOCIDO_SIMULADO,30,1151958.129167,1563532.450889,30,0,0,0,0.873095,GRANDE,GANA_GENETICO,9060,4534.333333,4263.13261,1398.00755,0,GANA_GENETICO
BASE,SIMULACION_CINCO_DIAS-CRITICA-N02,SIMULACION_CINCO_DIAS,CRITICA,2,275,GENETICO,RECOCIDO_SIMULADO,30,1147514.196833,1501195.162389,30,0,0,0,0.873095,GRANDE,GANA_GENETICO,9060,4885,4189.41507,1458.04511,0,GANA_GENETICO
BASE,SIMULACION_CINCO_DIAS-CRITICA-N03,SIMULACION_CINCO_DIAS,CRITICA,3,275,GENETICO,RECOCIDO_SIMULADO,30,1142142.209944,1551459.956667,30,0,0,0,0.873095,GRANDE,GANA_GENETICO,9060,4659.666667,4040.8265,1373.95021,0,GANA_GENETICO
BASE,SIMULACION_CINCO_DIAS-NORMAL-N01,SIMULACION_CINCO_DIAS,NORMAL,1,125,GENETICO,RECOCIDO_SIMULADO,30,465165.416056,618996.499333,30,0,0,0,0.873095,GRANDE,GANA_GENETICO,9060,4733,1591.39816,388.335447,0,GANA_GENETICO
BASE,SIMULACION_CINCO_DIAS-NORMAL-N02,SIMULACION_CINCO_DIAS,NORMAL,2,125,GENETICO,RECOCIDO_SIMULADO,30,458386.146833,625937.903222,30,0,0,0,0.873095,GRANDE,GANA_GENETICO,9060,4603.666667,1551.301553,400.343923,0,GANA_GENETICO
BASE,SIMULACION_CINCO_DIAS-NORMAL-N03,SIMULACION_CINCO_DIAS,NORMAL,3,125,GENETICO,RECOCIDO_SIMULADO,30,427699.974611,588982.502444,30,0,0,0,0.873095,GRANDE,GANA_GENETICO,9060,4829,1447.893453,358.334463,0,GANA_GENETICO
