escenario,escenario_operativo,perfil_presion,tamanio,nivel,instante,primer_pedido,ultimo_pedido,cantidad_total_qq,capacidad_disponible_qq,ratio_demanda_capacidad,prioritarios,vehiculos_disponibles,vehiculos_en_mantenimiento,vehiculos_en_baja_por_perfil,bloqueos_activos
SIMULACION_CINCO_DIAS-ALTA-N01,SIMULACION_CINCO_DIAS,ALTA,190,1,2026-09-05T07:01,2026-09-01T00:26,2026-09-05T07:01,1066,408,2.612745,114,37,,,0
SIMULACION_CINCO_DIAS-ALTA-N02,SIMULACION_CINCO_DIAS,ALTA,190,2,2026-09-10T04:12,2026-09-06T00:01,2026-09-10T04:12,1137,408,2.786765,119,37,,,0
SIMULACION_CINCO_DIAS-ALTA-N03,SIMULACION_CINCO_DIAS,ALTA,190,3,2026-09-15T05:08,2026-09-11T00:01,2026-09-15T05:08,999,400,2.4975,99,36,TM11,,1
SIMULACION_CINCO_DIAS-CRITICA-N01,SIMULACION_CINCO_DIAS,CRITICA,275,1,2026-09-05T08:31,2026-09-01T00:26,2026-09-05T08:31,1591,384,4.143229,165,36,,TA01,4
SIMULACION_CINCO_DIAS-CRITICA-N02,SIMULACION_CINCO_DIAS,CRITICA,275,2,2026-09-10T06:36,2026-09-06T00:01,2026-09-10T06:36,1609,384,4.190104,166,36,,TA01,2
SIMULACION_CINCO_DIAS-CRITICA-N03,SIMULACION_CINCO_DIAS,CRITICA,275,3,2026-09-15T06:56,2026-09-11T00:01,2026-09-15T06:56,1421,376,3.779255,147,35,TM11,TA01,1
COLAPSO_LOGISTICO-NORMAL-N01,COLAPSO_LOGISTICO,NORMAL,25,1,2026-09-01T03:50,2026-09-01T00:26,2026-09-01T03:50,115,384,0.299479,17,36,TA01,,3
COLAPSO_LOGISTICO-NORMAL-N02,COLAPSO_LOGISTICO,NORMAL,38,2,2026-09-01T11:30,2026-09-01T05:26,2026-09-01T11:30,206,384,0.536458,23,36,TA01,TA01,2
COLAPSO_LOGISTICO-NORMAL-N03,COLAPSO_LOGISTICO,NORMAL,50,3,2026-09-01T19:54,2026-09-01T13:17,2026-09-01T19:54,293,360,0.813889,33,35,TA01,TA01 TA02,3
COLAPSO_LOGISTICO-ALTA-N01,COLAPSO_LOGISTICO,ALTA,38,1,2026-09-01T05:25,2026-09-01T00:26,2026-09-01T05:25,163,384,0.424479,25,36,TA01,,0
COLAPSO_LOGISTICO-ALTA-N02,COLAPSO_LOGISTICO,ALTA,56,2,2026-09-01T14:43,2026-09-01T07:55,2026-09-01T14:43,277,384,0.721354,35,36,TA01,TA01,0
COLAPSO_LOGISTICO-ALTA-N03,COLAPSO_LOGISTICO,ALTA,75,3,2026-09-02T07:56,2026-09-01T19:58,2026-09-02T07:56,463,356,1.300562,42,34,TA01 TB01,TA01 TA02,2
COLAPSO_LOGISTICO-CRITICA-N01,COLAPSO_LOGISTICO,CRITICA,55,1,2026-09-01T07:53,2026-09-01T00:26,2026-09-01T07:53,262,384,0.682292,35,36,TA01,TA01,1
COLAPSO_LOGISTICO-CRITICA-N02,COLAPSO_LOGISTICO,CRITICA,83,2,2026-09-01T21:42,2026-09-01T12:18,2026-09-01T21:42,461,360,1.280556,54,35,TA01,TA01 TA02,6
COLAPSO_LOGISTICO-CRITICA-N03,COLAPSO_LOGISTICO,CRITICA,110,3,2026-09-03T02:45,2026-09-02T06:59,2026-09-03T02:45,692,328,2.109756,64,33,TM07,TA01 TA02 TA03,0
