variante,escenario,escenario_operativo,perfil_presion,nivel,algoritmo,tamanio,corridas,factibles_pct,metrica,media,mediana,desviacion_muestral,mejor,peor
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,1,RECOCIDO_SIMULADO,25,30,100,evaluaciones,902.333333,881,133.899945,581,1181
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,1,RECOCIDO_SIMULADO,25,30,100,cumplimientoPct,100,100,0,100,100
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,1,RECOCIDO_SIMULADO,25,30,100,cumplimientoPrioritariosPct,100,100,0,100,100
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,1,RECOCIDO_SIMULADO,25,30,100,retrasoHoras,0,0,0,0,0
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,1,RECOCIDO_SIMULADO,25,30,100,tiempoAtencionHoras,86.263333,86.263333,0,86.263333,86.263333
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,1,RECOCIDO_SIMULADO,25,30,100,noAsignados,0,0,0,0,0
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,1,RECOCIDO_SIMULADO,25,30,100,costo,9984,9984,0,9984,9984
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,1,RECOCIDO_SIMULADO,25,30,100,distanciaKm,1474,1474,0,1474,1474
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,1,RECOCIDO_SIMULADO,25,30,100,utilizacionPct,29.947917,29.947917,0,29.947917,29.947917
BASE,OPERACION_DIARIA-NORMAL-N02,OPERACION_DIARIA,NORMAL,2,GENETICO,25,30,100,objetivo,94.884333,94.915,0.173398,94.59,95.34
BASE,OPERACION_DIARIA-NORMAL-N02,OPERACION_DIARIA,NORMAL,2,GENETICO,25,30,100,tiempoMs,587.341853,584.7756,114.162231,371.7558,888.4567
BASE,OPERACION_DIARIA-NORMAL-N02,OPERACION_DIARIA,NORMAL,2,GENETICO,25,30,100,evaluaciones,9060,9060,0,9060,9060
BASE,OPERACION_DIARIA-NORMAL-N02,OPERACION_DIARIA,NORMAL,2,GENETICO,25,30,100,cumplimientoPct,100,100,0,100,100
BASE,OPERACION_DIARIA-NORMAL-N02,OPERACION_DIARIA,NORMAL,2,GENETICO,25,30,100,cumplimientoPrioritariosPct,100,100,0,100,100
BASE,OPERACION_DIARIA-NORMAL-N02,OPERACION_DIARIA,NORMAL,2,GENETICO,25,30,100,retrasoHoras,0,0,0,0,0
BASE,OPERACION_DIARIA-NORMAL-N02,OPERACION_DIARIA,NORMAL,2,GENETICO,25,30,100,tiempoAtencionHoras,94.884333,94.915,0.173398,94.59,95.34
BASE,OPERACION_DIARIA-NORMAL-N02,OPERACION_DIARIA,NORMAL,2,GENETICO,25,30,100,noAsignados,0,0,0,0,0
BASE,OPERACION_DIARIA-NORMAL-N02,OPERACION_DIARIA,NORMAL,2,GENETICO,25,30,100,costo,11470.666667,11396,165.899291,11188,11696
BASE,OPERACION_DIARIA-NORMAL-N02,OPERACION_DIARIA,NORMAL,2,GENETICO,25,30,100,distanciaKm,1626.533333,1612,21.276073,1586,1656
BASE,OPERACION_DIARIA-NORMAL-N02,OPERACION_DIARIA,NORMAL,2,GENETICO,25,30,100,utilizacionPct,30.46875,30.46875,0,30.46875,30.46875
BASE,OPERACION_DIARIA-NORMAL-N02,OPERACION_DIARIA,NORMAL,2,RECOCIDO_SIMULADO,25,30,100,objetivo,95.85,95.85,0,95.85,95.85
BASE,OPERACION_DIARIA-NORMAL-N02,OPERACION_DIARIA,NORMAL,2,RECOCIDO_SIMULADO,25,30,100,tiempoMs,30.508737,29.99165,3.14835,23.0625,42.3265
BASE,OPERACION_DIARIA-NORMAL-N02,OPERACION_DIARIA,NORMAL,2,RECOCIDO_SIMULADO,25,30,100,evaluaciones,3770.333333,3821,257.935214,2941,4181
BASE,OPERACION_DIARIA-NORMAL-N02,OPERACION_DIARIA,NORMAL,2,RECOCIDO_SIMULADO,25,30,100,cumplimientoPct,100,100,0,100,100
BASE,OPERACION_DIARIA-NORMAL-N02,OPERACION_DIARIA,NORMAL,2,RECOCIDO_SIMULADO,25,30,100,cumplimientoPrioritariosPct,100,100,0,100,100
BASE,OPERACION_DIARIA-NORMAL-N02,OPERACION_DIARIA,NORMAL,2,RECOCIDO_SIMULADO,25,30,100,retrasoHoras,0,0,0,0,0
BASE,OPERACION_DIARIA-NORMAL-N02,OPERACION_DIARIA,NORMAL,2,RECOCIDO_SIMULADO,25,30,100,tiempoAtencionHoras,95.85,95.85,0,95.85,95.85
BASE,OPERACION_DIARIA-NORMAL-N02,OPERACION_DIARIA,NORMAL,2,RECOCIDO_SIMULADO,25,30,100,noAsignados,0,0,0,0,0
BASE,OPERACION_DIARIA-NORMAL-N02,OPERACION_DIARIA,NORMAL,2,RECOCIDO_SIMULADO,25,30,100,costo,11448,11448,0,11448,11448
BASE,OPERACION_DIARIA-NORMAL-N02,OPERACION_DIARIA,NORMAL,2,RECOCIDO_SIMULADO,25,30,100,distanciaKm,1656,1656,0,1656,1656
BASE,OPERACION_DIARIA-NORMAL-N02,OPERACION_DIARIA,NORMAL,2,RECOCIDO_SIMULADO,25,30,100,utilizacionPct,30.46875,30.46875,0,30.46875,30.46875
BASE,OPERACION_DIARIA-NORMAL-N03,OPERACION_DIARIA,NORMAL,3,GENETICO,25,30,100,objetivo,201.374333,201.378333,0.215408,201.048333,201.828333
BASE,OPERACION_DIARIA-NORMAL-N03,OPERACION_DIARIA,NORMAL,3,GENETICO,25,30,100,tiempoMs,591.944293,600.77895,177.774633,332.1862,1043.3634
BASE,OPERACION_DIARIA-NORMAL-N03,OPERACION_DIARIA,NORMAL,3,GENETICO,25,30,100,evaluaciones,9060,9060,0,9060,9060
BASE,OPERACION_DIARIA-NORMAL-N03,OPERACION_DIARIA,NORMAL,3,GENETICO,25,30,100,cumplimientoPct,92,92,0,92,92
BASE,OPERACION_DIARIA-NORMAL-N03,OPERACION_DIARIA,NORMAL,3,GENETICO,25,30,100,cumplimientoPrioritariosPct,87.5,87.5,0,87.5,87.5
BASE,OPERACION_DIARIA-NORMAL-N03,OPERACION_DIARIA,NORMAL,3,GENETICO,25,30,100,retrasoHoras,0.958333,0.958333,0,0.958333,0.958333
BASE,OPERACION_DIARIA-NORMAL-N03,OPERACION_DIARIA,NORMAL,3,GENETICO,25,30,100,tiempoAtencionHoras,105.541,105.545,0.215408,105.215,105.995
BASE,OPERACION_DIARIA-NORMAL-N03,OPERACION_DIARIA,NORMAL,3,GENETICO,25,30,100,noAsignados,0,0,0,0,0
BASE,OPERACION_DIARIA-NORMAL-N03,OPERACION_DIARIA,NORMAL,3,GENETICO,25,30,100,costo,11068.533333,11088,166.977953,10800,11316
BASE,OPERACION_DIARIA-NORMAL-N03,OPERACION_DIARIA,NORMAL,3,GENETICO,25,30,100,distanciaKm,1600.6,1604,26.606455,1570,1656
BASE,OPERACION_DIARIA-NORMAL-N03,OPERACION_DIARIA,NORMAL,3,GENETICO,25,30,100,utilizacionPct,34.114583,34.114583,0,34.114583,34.114583
BASE,OPERACION_DIARIA-NORMAL-N03,OPERACION_DIARIA,NORMAL,3,RECOCIDO_SIMULADO,25,30,100,objetivo,202.848333,202.848333,0,202.848333,202.848333
BASE,OPERACION_DIARIA-NORMAL-N03,OPERACION_DIARIA,NORMAL,3,RECOCIDO_SIMULADO,25,30,100,tiempoMs,15.925277,15.78385,3.736306,9.0922,24.224
BASE,OPERACION_DIARIA-NORMAL-N03,OPERACION_DIARIA,NORMAL,3,RECOCIDO_SIMULADO,25,30,100,evaluaciones,1898.333333,1861,512.458128,1061,3141
BASE,OPERACION_DIARIA-NORMAL-N03,OPERACION_DIARIA,NORMAL,3,RECOCIDO_SIMULADO,25,30,100,cumplimientoPct,92,92,0,92,92
BASE,OPERACION_DIARIA-NORMAL-N03,OPERACION_DIARIA,NORMAL,3,RECOCIDO_SIMULADO,25,30,100,cumplimientoPrioritariosPct,87.5,87.5,0,87.5,87.5
BASE,OPERACION_DIARIA-NORMAL-N03,OPERACION_DIARIA,NORMAL,3,RECOCIDO_SIMULADO,25,30,100,retrasoHoras,0.958333,0.958333,0,0.958333,0.958333
BASE,OPERACION_DIARIA-NORMAL-N03,OPERACION_DIARIA,NORMAL,3,RECOCIDO_SIMULADO,25,30,100,tiempoAtencionHoras,107.015,107.015,0,107.015,107.015
BASE,OPERACION_DIARIA-NORMAL-N03,OPERACION_DIARIA,NORMAL,3,RECOCIDO_SIMULADO,25,30,100,noAsignados,0,0,0,0,0
BASE,OPERACION_DIARIA-NORMAL-N03,OPERACION_DIARIA,NORMAL,3,RECOCIDO_SIMULADO,25,30,100,costo,10988,10988,0,10988,10988
BASE,OPERACION_DIARIA-NORMAL-N03,OPERACION_DIARIA,NORMAL,3,RECOCIDO_SIMULADO,25,30,100,distanciaKm,1594,1594,0,1594,1594
BASE,OPERACION_DIARIA-NORMAL-N03,OPERACION_DIARIA,NORMAL,3,RECOCIDO_SIMULADO,25,30,100,utilizacionPct,34.114583,34.114583,0,34.114583,34.114583
BASE,OPERACION_DIARIA-ALTA-N01,OPERACION_DIARIA,ALTA,1,GENETICO,38,30,100,objetivo,350.355778,349.0325,42.348371,294.956667,525.391667
BASE,OPERACION_DIARIA-ALTA-N01,OPERACION_DIARIA,ALTA,1,GENETICO,38,30,100,tiempoMs,848.38924,841.4357,181.786308,571.3983,1169.8944
BASE,OPERACION_DIARIA-ALTA-N01,OPERACION_DIARIA,ALTA,1,GENETICO,38,30,100,evaluaciones,9060,9060,0,9060,9060
BASE,OPERACION_DIARIA-ALTA-N01,OPERACION_DIARIA,ALTA,1,GENETICO,38,30,100,cumplimientoPct,94.736842,94.736842,0,94.736842,94.736842
BASE,OPERACION_DIARIA-ALTA-N01,OPERACION_DIARIA,ALTA,1,GENETICO,38,30,100,cumplimientoPrioritariosPct,92,92,0,92,92
BASE,OPERACION_DIARIA-ALTA-N01,OPERACION_DIARIA,ALTA,1,GENETICO,38,30,100,retrasoHoras,1.747333,1.74,0.421106,1.2,3.49
BASE,OPERACION_DIARIA-ALTA-N01,OPERACION_DIARIA,ALTA,1,GENETICO,38,30,100,tiempoAtencionHoras,175.622444,175.736667,1.162042,173.516667,178.081667
BASE,OPERACION_DIARIA-ALTA-N01,OPERACION_DIARIA,ALTA,1,GENETICO,38,30,100,noAsignados,0,0,0,0,0
BASE,OPERACION_DIARIA-ALTA-N01,OPERACION_DIARIA,ALTA,1,GENETICO,38,30,100,costo,12168.4,12186,307.090192,11626,12888
BASE,OPERACION_DIARIA-ALTA-N01,OPERACION_DIARIA,ALTA,1,GENETICO,38,30,100,distanciaKm,1877.6,1883,70.894579,1746,2082
BASE,OPERACION_DIARIA-ALTA-N01,OPERACION_DIARIA,ALTA,1,GENETICO,38,30,100,utilizacionPct,45.277778,45.277778,0,45.277778,45.277778
BASE,OPERACION_DIARIA-ALTA-N01,OPERACION_DIARIA,ALTA,1,GENETICO,38,30,100,tiempoReplanificacionMs,189.193697,178.7936,48.27928,134.3362,376.724
BASE,OPERACION_DIARIA-ALTA-N01,OPERACION_DIARIA,ALTA,1,GENETICO,38,30,100,tasaReplanificacionExitosaPct,100,100,,100,100
BASE,OPERACION_DIARIA-ALTA-N01,OPERACION_DIARIA,ALTA,1,RECOCIDO_SIMULADO,38,30,100,objetivo,354.249444,357.796667,37.919738,302.725,483.648333
BASE,OPERACION_DIARIA-ALTA-N01,OPERACION_DIARIA,ALTA,1,RECOCIDO_SIMULADO,38,30,100,tiempoMs,18.37708,17.9015,2.240803,14.4938,23.8639
BASE,OPERACION_DIARIA-ALTA-N01,OPERACION_DIARIA,ALTA,1,RECOCIDO_SIMULADO,38,30,100,evaluaciones,838.333333,761,309.604122,341,1701
BASE,OPERACION_DIARIA-ALTA-N01,OPERACION_DIARIA,ALTA,1,RECOCIDO_SIMULADO,38,30,100,cumplimientoPct,94.736842,94.736842,0,94.736842,94.736842
BASE,OPERACION_DIARIA-ALTA-N01,OPERACION_DIARIA,ALTA,1,RECOCIDO_SIMULADO,38,30,100,cumplimientoPrioritariosPct,92,92,0,92,92
BASE,OPERACION_DIARIA-ALTA-N01,OPERACION_DIARIA,ALTA,1,RECOCIDO_SIMULADO,38,30,100,retrasoHoras,1.681333,1.74,0.385117,1.2,2.95
BASE,OPERACION_DIARIA-ALTA-N01,OPERACION_DIARIA,ALTA,1,RECOCIDO_SIMULADO,38,30,100,tiempoAtencionHoras,186.116111,185.018333,4.402643,180.268333,199.586667
BASE,OPERACION_DIARIA-ALTA-N01,OPERACION_DIARIA,ALTA,1,RECOCIDO_SIMULADO,38,30,100,noAsignados,0,0,0,0,0
BASE,OPERACION_DIARIA-ALTA-N01,OPERACION_DIARIA,ALTA,1,RECOCIDO_SIMULADO,38,30,100,costo,12322.8,12307,489.33131,11316,13300
BASE,OPERACION_DIARIA-ALTA-N01,OPERACION_DIARIA,ALTA,1,RECOCIDO_SIMULADO,38,30,100,distanciaKm,1860.733333,1852,89.938651,1632,2028
BASE,OPERACION_DIARIA-ALTA-N01,OPERACION_DIARIA,ALTA,1,RECOCIDO_SIMULADO,38,30,100,utilizacionPct,45.277778,45.277778,0,45.277778,45.277778
BASE,OPERACION_DIARIA-ALTA-N01,OPERACION_DIARIA,ALTA,1,RECOCIDO_SIMULADO,38,30,100,tiempoReplanificacionMs,9.828043,9.0574,2.811876,5.0831,17.2658
BASE,OPERACION_DIARIA-ALTA-N01,OPERACION_DIARIA,ALTA,1,RECOCIDO_SIMULADO,38,30,100,tasaReplanificacionExitosaPct,100,100,,100,100
BASE,OPERACION_DIARIA-ALTA-N02,OPERACION_DIARIA,ALTA,2,GENETICO,38,30,100,objetivo,711.888778,712.295833,69.29152,632.683333,879.083333
BASE,OPERACION_DIARIA-ALTA-N02,OPERACION_DIARIA,ALTA,2,GENETICO,38,30,100,tiempoMs,622.74465,635.1648,157.943492,294.3111,935.6089
BASE,OPERACION_DIARIA-ALTA-N02,OPERACION_DIARIA,ALTA,2,GENETICO,38,30,100,evaluaciones,9060,9060,0,9060,9060
BASE,OPERACION_DIARIA-ALTA-N02,OPERACION_DIARIA,ALTA,2,GENETICO,38,30,100,cumplimientoPct,90.350877,89.473684,1.261746,92.105263,89.473684
BASE,OPERACION_DIARIA-ALTA-N02,OPERACION_DIARIA,ALTA,2,GENETICO,38,30,100,cumplimientoPrioritariosPct,84.057971,82.608696,2.084623,86.956522,82.608696
BASE,OPERACION_DIARIA-ALTA-N02,OPERACION_DIARIA,ALTA,2,GENETICO,38,30,100,retrasoHoras,4.892778,4.9,0.694363,4.108333,6.55
BASE,OPERACION_DIARIA-ALTA-N02,OPERACION_DIARIA,ALTA,2,GENETICO,38,30,100,tiempoAtencionHoras,222.611,222.63,1.351379,220.515,226.111667
BASE,OPERACION_DIARIA-ALTA-N02,OPERACION_DIARIA,ALTA,2,GENETICO,38,30,100,noAsignados,0,0,0,0,0
BASE,OPERACION_DIARIA-ALTA-N02,OPERACION_DIARIA,ALTA,2,GENETICO,38,30,100,costo,12994.533333,12964,354.427341,12190,13694
BASE,OPERACION_DIARIA-ALTA-N02,OPERACION_DIARIA,ALTA,2,GENETICO,38,30,100,distanciaKm,1999.133333,1994,71.876682,1824,2160
BASE,OPERACION_DIARIA-ALTA-N02,OPERACION_DIARIA,ALTA,2,GENETICO,38,30,100,utilizacionPct,57.222222,57.222222,0,57.222222,57.222222
BASE,OPERACION_DIARIA-ALTA-N02,OPERACION_DIARIA,ALTA,2,GENETICO,38,30,100,tiempoReplanificacionMs,192.760363,176.07615,62.410885,119.9585,408.9656
BASE,OPERACION_DIARIA-ALTA-N02,OPERACION_DIARIA,ALTA,2,GENETICO,38,30,100,tasaReplanificacionExitosaPct,100,100,,100,100
BASE,OPERACION_DIARIA-ALTA-N02,OPERACION_DIARIA,ALTA,2,RECOCIDO_SIMULADO,38,30,100,objetivo,665.838278,651.9475,32.272485,637.88,745.51
BASE,OPERACION_DIARIA-ALTA-N02,OPERACION_DIARIA,ALTA,2,RECOCIDO_SIMULADO,38,30,100,tiempoMs,26.22418,24.2203,5.640116,18.7933,39.2728
BASE,OPERACION_DIARIA-ALTA-N02,OPERACION_DIARIA,ALTA,2,RECOCIDO_SIMULADO,38,30,100,evaluaciones,1891.666667,1921,698.505465,301,3061
BASE,OPERACION_DIARIA-ALTA-N02,OPERACION_DIARIA,ALTA,2,RECOCIDO_SIMULADO,38,30,100,cumplimientoPct,90.701754,89.473684,1.335306,92.105263,89.473684
BASE,OPERACION_DIARIA-ALTA-N02,OPERACION_DIARIA,ALTA,2,RECOCIDO_SIMULADO,38,30,100,cumplimientoPrioritariosPct,84.637681,82.608696,2.206158,86.956522,82.608696
BASE,OPERACION_DIARIA-ALTA-N02,OPERACION_DIARIA,ALTA,2,RECOCIDO_SIMULADO,38,30,100,retrasoHoras,4.317611,4.175,0.330387,4.108333,5.146667
BASE,OPERACION_DIARIA-ALTA-N02,OPERACION_DIARIA,ALTA,2,RECOCIDO_SIMULADO,38,30,100,tiempoAtencionHoras,234.077167,233.813333,3.928734,227.046667,243.693333
BASE,OPERACION_DIARIA-ALTA-N02,OPERACION_DIARIA,ALTA,2,RECOCIDO_SIMULADO,38,30,100,noAsignados,0,0,0,0,0
BASE,OPERACION_DIARIA-ALTA-N02,OPERACION_DIARIA,ALTA,2,RECOCIDO_SIMULADO,38,30,100,costo,13755.733333,13761,601.362071,12338,14930
BASE,OPERACION_DIARIA-ALTA-N02,OPERACION_DIARIA,ALTA,2,RECOCIDO_SIMULADO,38,30,100,distanciaKm,2099.6,2098,114.792046,1880,2308
BASE,OPERACION_DIARIA-ALTA-N02,OPERACION_DIARIA,ALTA,2,RECOCIDO_SIMULADO,38,30,100,utilizacionPct,57.222222,57.222222,0,57.222222,57.222222
BASE,OPERACION_DIARIA-ALTA-N02,OPERACION_DIARIA,ALTA,2,RECOCIDO_SIMULADO,38,30,100,tiempoReplanificacionMs,20.461893,21.98045,6.99787,4.2651,32.4089
BASE,OPERACION_DIARIA-ALTA-N02,OPERACION_DIARIA,ALTA,2,RECOCIDO_SIMULADO,38,30,100,tasaReplanificacionExitosaPct,100,100,,100,100
BASE,OPERACION_DIARIA-ALTA-N03,OPERACION_DIARIA,ALTA,3,GENETICO,38,30,100,objetivo,174.003889,160.746667,34.267521,159.096667,261.43
BASE,OPERACION_DIARIA-ALTA-N03,OPERACION_DIARIA,ALTA,3,GENETICO,38,30,100,tiempoMs,390.135163,361.15385,113.044768,236.8955,609.6319
BASE,OPERACION_DIARIA-ALTA-N03,OPERACION_DIARIA,ALTA,3,GENETICO,38,30,100,evaluaciones,9060,9060,0,9060,9060
BASE,OPERACION_DIARIA-ALTA-N03,OPERACION_DIARIA,ALTA,3,GENETICO,38,30,100,cumplimientoPct,99.649123,100,0.909858,100,97.368421
BASE,OPERACION_DIARIA-ALTA-N03,OPERACION_DIARIA,ALTA,3,GENETICO,38,30,100,cumplimientoPrioritariosPct,99.42029,100,1.503243,100,95.652174
BASE,OPERACION_DIARIA-ALTA-N03,OPERACION_DIARIA,ALTA,3,GENETICO,38,30,100,retrasoHoras,0.13,0,0.337102,0,0.975
BASE,OPERACION_DIARIA-ALTA-N03,OPERACION_DIARIA,ALTA,3,GENETICO,38,30,100,tiempoAtencionHoras,161.003889,160.746667,0.997147,159.096667,163.93
BASE,OPERACION_DIARIA-ALTA-N03,OPERACION_DIARIA,ALTA,3,GENETICO,38,30,100,noAsignados,0,0,0,0,0
BASE,OPERACION_DIARIA-ALTA-N03,OPERACION_DIARIA,ALTA,3,GENETICO,38,30,100,costo,12687.333333,12640,245.662136,12052,13156
BASE,OPERACION_DIARIA-ALTA-N03,OPERACION_DIARIA,ALTA,3,GENETICO,38,30,100,distanciaKm,1949.866667,1952,47.511692,1824,2058
BASE,OPERACION_DIARIA-ALTA-N03,OPERACION_DIARIA,ALTA,3,GENETICO,38,30,100,utilizacionPct,53.333333,53.333333,0,53.333333,53.333333
BASE,OPERACION_DIARIA-ALTA-N03,OPERACION_DIARIA,ALTA,3,GENETICO,38,30,100,tiempoReplanificacionMs,195.4189,186.43845,49.69025,138.9348,297.3193
BASE,OPERACION_DIARIA-ALTA-N03,OPERACION_DIARIA,ALTA,3,GENETICO,38,30,100,tasaReplanificacionExitosaPct,100,100,,100,100
BASE,OPERACION_DIARIA-ALTA-N03,OPERACION_DIARIA,ALTA,3,RECOCIDO_SIMULADO,38,30,100,objetivo,181.873167,169.213333,32.705729,163.766667,266.51
BASE,OPERACION_DIARIA-ALTA-N03,OPERACION_DIARIA,ALTA,3,RECOCIDO_SIMULADO,38,30,100,tiempoMs,18.134657,17.5501,2.895091,13.899,26.8688
BASE,OPERACION_DIARIA-ALTA-N03,OPERACION_DIARIA,ALTA,3,RECOCIDO_SIMULADO,38,30,100,evaluaciones,637,621,235.732168,181,1061
BASE,OPERACION_DIARIA-ALTA-N03,OPERACION_DIARIA,ALTA,3,RECOCIDO_SIMULADO,38,30,100,cumplimientoPct,99.649123,100,0.909858,100,97.368421
BASE,OPERACION_DIARIA-ALTA-N03,OPERACION_DIARIA,ALTA,3,RECOCIDO_SIMULADO,38,30,100,cumplimientoPrioritariosPct,99.42029,100,1.503243,100,95.652174
BASE,OPERACION_DIARIA-ALTA-N03,OPERACION_DIARIA,ALTA,3,RECOCIDO_SIMULADO,38,30,100,retrasoHoras,0.13,0,0.337102,0,0.975
BASE,OPERACION_DIARIA-ALTA-N03,OPERACION_DIARIA,ALTA,3,RECOCIDO_SIMULADO,38,30,100,tiempoAtencionHoras,168.873167,168.85,3.860146,162.468333,179.845
BASE,OPERACION_DIARIA-ALTA-N03,OPERACION_DIARIA,ALTA,3,RECOCIDO_SIMULADO,38,30,100,noAsignados,0,0,0,0,0
BASE,OPERACION_DIARIA-ALTA-N03,OPERACION_DIARIA,ALTA,3,RECOCIDO_SIMULADO,38,30,100,costo,12299.666667,12278,412.392543,11202,13212
BASE,OPERACION_DIARIA-ALTA-N03,OPERACION_DIARIA,ALTA,3,RECOCIDO_SIMULADO,38,30,100,distanciaKm,1858.133333,1867,68.032311,1692,1996
BASE,OPERACION_DIARIA-ALTA-N03,OPERACION_DIARIA,ALTA,3,RECOCIDO_SIMULADO,38,30,100,utilizacionPct,53.333333,53.333333,0,53.333333,53.333333
BASE,OPERACION_DIARIA-ALTA-N03,OPERACION_DIARIA,ALTA,3,RECOCIDO_SIMULADO,38,30,100,tiempoReplanificacionMs,7.955907,7.8524,2.31563,3.0873,11.8065
BASE,OPERACION_DIARIA-ALTA-N03,OPERACION_DIARIA,ALTA,3,RECOCIDO_SIMULADO,38,30,100,tasaReplanificacionExitosaPct,100,100,,100,100
BASE,OPERACION_DIARIA-CRITICA-N01,OPERACION_DIARIA,CRITICA,1,GENETICO,55,30,100,objetivo,1204.078111,1189.389167,133.416887,1041.66,1483.405
BASE,OPERACION_DIARIA-CRITICA-N01,OPERACION_DIARIA,CRITICA,1,GENETICO,55,30,100,tiempoMs,517.76576,459.2243,179.254389,308.18,936.9417
BASE,OPERACION_DIARIA-CRITICA-N01,OPERACION_DIARIA,CRITICA,1,GENETICO,55,30,100,evaluaciones,9060,9060,0,9060,9060
BASE,OPERACION_DIARIA-CRITICA-N01,OPERACION_DIARIA,CRITICA,1,GENETICO,55,30,100,cumplimientoPct,92.060606,92.727273,1.687014,94.545455,87.272727
BASE,OPERACION_DIARIA-CRITICA-N01,OPERACION_DIARIA,CRITICA,1,GENETICO,55,30,100,cumplimientoPrioritariosPct,87.52381,88.571429,2.651021,91.428571,80
BASE,OPERACION_DIARIA-CRITICA-N01,OPERACION_DIARIA,CRITICA,1,GENETICO,55,30,100,retrasoHoras,8.376278,8.248333,1.334722,6.74,11.183333
BASE,OPERACION_DIARIA-CRITICA-N01,OPERACION_DIARIA,CRITICA,1,GENETICO,55,30,100,tiempoAtencionHoras,366.450333,366.765,3.278877,360.148333,374.33
BASE,OPERACION_DIARIA-CRITICA-N01,OPERACION_DIARIA,CRITICA,1,GENETICO,55,30,100,noAsignados,0,0,0,0,0
BASE,OPERACION_DIARIA-CRITICA-N01,OPERACION_DIARIA,CRITICA,1,GENETICO,55,30,100,costo,15279.333333,15255,480.351117,14336,16464
BASE,OPERACION_DIARIA-CRITICA-N01,OPERACION_DIARIA,CRITICA,1,GENETICO,55,30,100,distanciaKm,2546.733333,2544,104.164966,2330,2778
BASE,OPERACION_DIARIA-CRITICA-N01,OPERACION_DIARIA,CRITICA,1,GENETICO,55,30,100,utilizacionPct,77.97619,77.97619,0,77.97619,77.97619
BASE,OPERACION_DIARIA-CRITICA-N01,OPERACION_DIARIA,CRITICA,1,GENETICO,55,30,100,tiempoReplanificacionMs,247.192973,233.72915,68.862479,145.465,395.4282
BASE,OPERACION_DIARIA-CRITICA-N01,OPERACION_DIARIA,CRITICA,1,GENETICO,55,30,100,tasaReplanificacionExitosaPct,100,100,,100,100
BASE,OPERACION_DIARIA-CRITICA-N01,OPERACION_DIARIA,CRITICA,1,RECOCIDO_SIMULADO,55,30,100,objetivo,1224.732,1222.34,81.545871,1101.731667,1482.458333
